2025-09-03 02:45:28,450 - __main__ - INFO - ✅ 已创建systemd服务文件: /etc/systemd/system/lxd-flow-continuity.service
2025-09-03 02:45:28,451 - __main__ - INFO - 启用服务: sudo systemctl enable lxd-flow-continuity
2025-09-03 02:45:28,451 - __main__ - INFO - 启动服务: sudo systemctl start lxd-flow-continuity
2025-09-03 02:45:30,311 - __main__ - INFO - ============================================================
2025-09-03 02:45:30,313 - __main__ - INFO - 流量连续性守护进程
2025-09-03 02:45:30,313 - __main__ - INFO - ============================================================
2025-09-03 02:45:30,314 - flow_manager - INFO - 流量管理数据库初始化完成
2025-09-03 02:45:30,357 - __main__ - INFO - 启动流量连续性守护进程，检查间隔: 60秒
2025-09-03 02:45:31,023 - __main__ - INFO - 收到信号 15，正在停止守护进程...
2025-09-03 02:46:06,036 - __main__ - INFO - ============================================================
2025-09-03 02:46:06,038 - __main__ - INFO - 流量连续性守护进程
2025-09-03 02:46:06,038 - __main__ - INFO - ============================================================
2025-09-03 02:46:06,040 - flow_manager - INFO - 流量管理数据库初始化完成
2025-09-03 02:46:06,432 - __main__ - INFO - 启动流量连续性守护进程，检查间隔: 300秒
2025-09-03 18:06:06,873 - __main__ - INFO - 健康检查: 总检查 184, 成功率 100.0%
2025-09-03 18:21:06,757 - __main__ - INFO - 健康检查: 总检查 187, 成功率 100.0%
2025-09-03 18:31:06,830 - __main__ - INFO - 健康检查: 总检查 189, 成功率 100.0%
2025-09-03 18:46:06,830 - __main__ - INFO - 健康检查: 总检查 192, 成功率 100.0%
2025-09-03 18:56:06,833 - __main__ - INFO - 健康检查: 总检查 194, 成功率 100.0%
2025-09-03 19:11:06,830 - __main__ - INFO - 健康检查: 总检查 197, 成功率 100.0%
2025-09-03 19:21:06,830 - __main__ - INFO - 健康检查: 总检查 199, 成功率 100.0%
2025-09-03 19:31:06,844 - __main__ - INFO - 健康检查: 总检查 201, 成功率 100.0%
2025-09-03 19:46:06,848 - __main__ - INFO - 健康检查: 总检查 204, 成功率 100.0%
2025-09-03 20:01:06,863 - __main__ - INFO - 健康检查: 总检查 207, 成功率 100.0%
2025-09-03 20:16:06,856 - __main__ - INFO - 健康检查: 总检查 210, 成功率 100.0%
2025-09-03 20:31:06,888 - __main__ - INFO - 健康检查: 总检查 213, 成功率 100.0%
2025-09-03 20:46:06,854 - __main__ - INFO - 健康检查: 总检查 216, 成功率 100.0%
2025-09-03 21:01:06,830 - __main__ - INFO - 健康检查: 总检查 219, 成功率 100.0%
2025-09-03 21:16:06,780 - __main__ - INFO - 健康检查: 总检查 222, 成功率 100.0%
2025-09-03 21:26:06,852 - __main__ - INFO - 健康检查: 总检查 224, 成功率 100.0%
2025-09-03 21:41:06,830 - __main__ - INFO - 健康检查: 总检查 227, 成功率 100.0%
2025-09-03 21:56:06,830 - __main__ - INFO - 健康检查: 总检查 230, 成功率 100.0%
2025-09-03 22:11:06,762 - __main__ - INFO - 健康检查: 总检查 233, 成功率 100.0%
2025-09-03 22:21:06,784 - __main__ - INFO - 健康检查: 总检查 235, 成功率 100.0%
2025-09-03 22:31:06,856 - __main__ - INFO - 健康检查: 总检查 237, 成功率 100.0%
2025-09-03 22:46:06,806 - __main__ - INFO - 健康检查: 总检查 240, 成功率 100.0%
2025-09-03 22:56:06,856 - __main__ - INFO - 健康检查: 总检查 242, 成功率 100.0%
2025-09-03 23:11:06,830 - __main__ - INFO - 健康检查: 总检查 245, 成功率 100.0%
2025-09-03 23:26:06,762 - __main__ - INFO - 健康检查: 总检查 248, 成功率 100.0%
2025-09-03 23:36:06,933 - __main__ - INFO - 健康检查: 总检查 250, 成功率 100.0%
